CON,CPC/PCC,Conservative Party of Canada/Parti conservateur du Canada,#6495ED
LIB,LPC/PLC,Liberal Party of Canada/Parti libéral du Canada,#EA6D6A
NDP,NDP/NPD,New Democratic Party/Nouveau Parti démocratique,#F4A460
